"airport_id","airport_seq_id","city_market_id","airport_code","city_name","state_nm","state_abr","state_fips","wac"
15016,1501603,31123,"STL","St. Louis, MO","Missouri","MO",29,64
13204,1320402,31454,"MCO","Orlando, FL","Florida","FL",12,33
11042,1104203,30647,"CLE","Cleveland, OH","Ohio","OH",39,44
12255,1225502,32255,"HYS","Hays, KS","Kansas","KS",20,62
11840,1184002,31840,"GAD","Gadsden, AL","Alabama","AL",1,51
11468,1146802,31468,"EAR","Kearney, NE","Nebraska","NE",31,65
12519,1251902,32519,"JMS","Jamestown, ND","North Dakota","ND",38,66
10466,1046602,30466,"AZA","Phoenix, AZ","Arizona","AZ",4,81
12094,1209402,34699,"HDN","Hayden, CO","Colorado","CO",8,82
11376,1137601,30977,"DPA","Chicago, IL","Illinois","IL",17,41
12953,1295302,31703,"LGA","New York, NY","New York","NY",36,22
14674,1467402,34674,"SAF","Santa Fe, NM","New Mexico","NM",35,86
10994,1099402,30994,"CHS","Charleston, SC","South Carolina","SC",45,37
11003,1100303,31003,"CID","Cedar Rapids/Iowa City, IA","Iowa","IA",19,61
11423,1142304,31423,"DSM","Des Moines, IA","Iowa","IA",19,61
13502,1350202,33502,"MTJ","Montrose/Delta, CO","Colorado","CO",8,82
11503,1150303,31503,"EGE","Eagle, CO","Colorado","CO",8,82
11057,1105703,31057,"CLT","Charlotte, NC","North Carolina","NC",37,36
14869,1486903,34614,"SLC","Salt Lake City, UT","Utah","UT",49,87
15177,1517702,35177,"TEX","Telluride, CO","Colorado","CO",8,82
11233,1123302,31233,"CYS","Cheyenne, WY","Wyoming","WY",56,88
14683,1468303,33214,"SAT","San Antonio, TX","Texas","TX",48,74
10821,1082104,30852,"BWI","Baltimore, MD","Maryland","MD",24,35
11618,1161802,31703,"EWR","Newark, NJ","New Jersey","NJ",34,21
12954,1295403,32575,"LGB","Long Beach, CA","California","CA",6,91
14730,1473003,33044,"SDF","Louisville, KY","Kentucky","KY",21,52
12544,1254403,32544,"USA","CONCORD, NC","North Carolina","NC",37,36
12280,1228002,32280,"IDA","Idaho Falls, ID","Idaho","ID",16,83
10529,1052904,30529,"BDL","Hartford, CT","Connecticut","CT",9,11
10721,1072102,30721,"BOS","Boston, MA","Massachusetts","MA",25,13
14543,1454302,34543,"RKS","Rock Springs, WY","Wyoming","WY",56,88
13433,1343302,33304,"MOT","Minot, ND","North Dakota","ND",38,66
14120,1412002,34120,"PIR","Pierre, SD","South Dakota","SD",46,67
14689,1468902,34689,"SBA","Santa Barbara, CA","California","CA",6,91
14814,1481402,30476,"SHV","Shreveport, LA","Louisiana","LA",22,72
10279,1027903,30279,"AMA","Amarillo, TX","Texas","TX",48,74
10272,1027203,30272,"ALS","Alamosa, CO","Colorado","CO",8,82
11066,1106603,31066,"CMH","Columbus, OH","Ohio","OH",39,44
12012,1201203,32012,"GUC","Gunnison, CO","Colorado","CO",8,82
11638,1163805,31638,"FAT","Fresno, CA","California","CA",6,91
14107,1410702,30466,"PHX","Phoenix, AZ","Arizona","AZ",4,81
13029,1302902,33029,"LNK","Lincoln, NE","Nebraska","NE",31,65
11259,1125903,30194,"DAL","Dallas, TX","Texas","TX",48,74
12451,1245102,31136,"JAX","Jacksonville, FL","Florida","FL",12,33
13198,1319801,33198,"MCI","Kansas City, MO","Missouri","MO",29,64
12003,1200302,31895,"GTF","Great Falls, MT","Montana","MT",30,84
14783,1478302,34783,"SGF","Springfield, MO","Missouri","MO",29,64
11267,1126702,31267,"DAY","Dayton, OH","Ohio","OH",39,44
15304,1530402,33195,"TPA","Tampa, FL","Florida","FL",12,33
15412,1541203,35412,"TYS","Knoxville, TN","Tennessee","TN",47,54
10599,1059904,30599,"BHM","Birmingham, AL","Alabama","AL",1,51
14252,1425202,34252,"PSC","Pasco/Kennewick/Richland, WA","Washington","WA",53,93
10194,1019403,30194,"AFW","Dallas/Fort Worth, TX","Texas","TX",48,74
13964,1396403,33964,"OTH","North Bend/Coos Bay, OR","Oregon","OR",41,92
13931,1393102,33667,"ORF","Norfolk, VA","Virginia","VA",51,38
14492,1449202,34492,"RDU","Raleigh/Durham, NC","North Carolina","NC",37,36
11097,1109702,31097,"COD","Cody, WY","Wyoming","WY",56,88
11603,1160302,31603,"EUG","Eugene, OR","Oregon","OR",41,92
10643,1064301,30643,"BKG","Branson, MO","Missouri","MO",29,64
11447,1144703,31447,"DVL","Devils Lake, ND","North Dakota","ND",38,66
13486,1348602,33486,"MSO","Missoula, MT","Montana","MT",30,84
12992,1299204,32600,"LIT","Little Rock, AR","Arkansas","AR",5,71
10950,1095002,30950,"CEZ","Cortez, CO","Colorado","CO",8,82
11413,1141304,30285,"DRO","Durango, CO","Colorado","CO",8,82
14534,1453402,34534,"RIW","Riverton/Lander, WY","Wyoming","WY",56,88
13930,1393004,30977,"ORD","Chicago, IL","Illinois","IL",17,41
12264,1226402,30852,"IAD","Washington, DC","Virginia","VA",51,38
11433,1143302,31295,"DTW","Detroit, MI","Michigan","MI",26,43
14288,1428803,34288,"PUB","Pueblo, CO","Colorado","CO",8,82
11697,1169704,32467,"FLL","Fort Lauderdale, FL","Florida","FL",12,33
11637,1163703,31637,"FAR","Fargo, ND","North Dakota","ND",38,66
11283,1128302,31283,"DDC","Dodge City, KS","Kansas","KS",20,62
13232,1323202,30977,"MDW","Chicago, IL","Illinois","IL",17,41
14193,1419304,33728,"PNS","Pensacola, FL","Florida","FL",12,33
14679,1467903,33570,"SAN","San Diego, CA","California","CA",6,91
13264,1326403,33264,"MFR","Medford, OR","Oregon","OR",41,92
10693,1069302,30693,"BNA","Nashville, TN","Tennessee","TN",47,54
14122,1412202,30198,"PIT","Pittsburgh, PA","Pennsylvania","PA",42,23
