"flight_id","origin_airport_id","destination_airport_id","airline_id","passengers","freight","mail","distance","ramp_to_ramp","air_time","seats","payload","aircraft_group","aircraft_type","aircraft_config","class"
1,10140,10272,21599,114,0,0,170,1458,1207,208,41600,4,479,1,"F"
2,10140,11292,19393,336,884,0,349,236,179,429,96600,6,619,1,"F"
3,10140,11292,19393,660,1861,0,349,265,209,700,173600,6,614,1,"F"
4,10140,11292,19393,10387,9139,0,349,5485,4293,11297,2733400,6,612,1,"F"
5,10140,11292,19977,140,1,0,349,66,48,150,32640,6,694,1,"F"
6,10140,11292,19977,2081,217,0,349,1074,786,2490,537403,6,614,1,"F"
7,10140,11292,19977,2893,546,0,349,1334,994,3222,773884,6,634,1,"F"
8,10140,11292,20237,1561,0,0,349,2701,2001,1750,389130,6,675,1,"F"
9,10140,11292,20304,166,0,0,349,218,167,210,56220,6,631,1,"F"
10,10140,11292,20304,807,0,0,349,1398,1001,1292,258400,6,673,1,"F"
11,10140,11292,20304,1064,0,0,349,2084,1348,1150,307000,6,629,1,"F"
12,10140,11292,20452,203,0,0,349,246,169,228,65409,6,673,1,"F"
13,10140,11292,20452,1220,0,0,349,1506,1073,1330,362748,6,677,1,"F"
14,10140,11292,20500,210,0,0,349,294,229,280,70440,6,631,1,"F"
15,10140,11413,20107,0,35960,0,160,1532,1329,0,77000,4,416,2,"G"
16,10140,11413,20263,0,35966,0,160,1532,1329,0,74800,4,416,2,"G"
17,10194,11292,20107,0,738980,0,626,2010,1614,0,1193619,6,622,2,"G"
18,10221,11292,21599,348,0,0,180,2986,2516,392,78400,4,479,1,"F"
19,10257,11292,19393,465,0,0,1610,726,679,525,130200,6,614,1,"F"
20,10257,11292,19393,3488,2312,0,1610,6471,6022,3861,934200,6,612,1,"F"
21,10272,10140,21599,93,0,0,170,1412,1194,208,41600,4,479,1,"F"
22,10272,11292,21599,530,0,0,179,4958,4024,624,124800,4,479,1,"F"
23,10279,11292,20237,2218,0,0,359,4057,3045,2650,589254,6,675,1,"F"
24,10279,11292,20304,143,0,0,359,215,168,150,40500,6,629,1,"F"
25,10299,11292,19977,5427,52536,3227,2405,15042,14069,8288,2044645,6,614,1,"F"
26,10325,10423,21652,1,0,0,764,144,132,8,1600,5,515,1,"L"
27,10325,11292,20225,5,0,0,22,32,13,30,7600,4,456,1,"F"
28,10325,13930,21652,0,0,0,903,150,132,8,1600,5,515,1,"L"
29,10325,14831,21652,1,0,0,937,144,126,12,2400,6,688,1,"L"
30,10372,10800,21352,3,0,0,725,122,113,8,2000,6,684,1,"L"
31,10372,11292,20304,7698,0,0,125,8963,5119,11970,3199580,6,631,1,"F"
32,10372,11298,20304,1193,0,0,701,3287,2635,1890,501885,6,631,1,"F"
33,10372,12266,20304,1369,0,0,913,3759,3211,1820,484760,6,631,1,"F"
34,10372,12892,20304,1761,0,0,737,7735,6194,4121,1094295,6,631,1,"F"
35,10372,13930,20304,2245,0,0,1013,8101,6734,3570,949310,6,631,1,"F"
36,10372,14771,20304,696,0,0,848,3192,2635,1540,409800,6,631,1,"F"
37,10372,14869,20304,893,0,0,292,1421,1000,1380,354800,6,631,1,"F"
38,10397,11109,19790,160,0,0,1184,169,152,199,49760,6,622,1,"F"
39,10397,11109,19790,4272,3000,0,1184,5368,4547,4633,1127491,6,694,1,"F"
40,10397,11292,19393,412,119,0,1199,597,502,429,96600,6,619,1,"F"
41,10397,11292,19393,7356,22635,0,1199,10515,9041,7722,1868400,6,612,1,"F"
42,10397,11292,19393,14138,31675,0,1199,15822,13716,14875,3689000,6,614,1,"F"
43,10397,11292,19790,30,0,0,1199,212,172,132,34446,6,698,1,"F"
44,10397,11292,19790,150,14,39,1199,174,156,192,50700,6,699,1,"F"
45,10397,11292,19790,6261,14700,15768,1199,6940,5956,6660,1816330,8,888,1,"F"
46,10397,11292,19790,10174,18819,36350,1199,10956,9266,10598,2786560,6,622,1,"F"
47,10397,11292,19790,21790,18075,49923,1199,26305,22729,22448,5426740,6,656,1,"F"
48,10397,11292,19977,223,375,2511,1199,416,310,300,72337,6,694,1,"F"
49,10397,11292,19977,462,153,6943,1199,724,648,512,142952,6,698,1,"F"
50,10397,11292,19977,3030,348,37051,1199,3778,3266,3320,810902,6,614,1,"F"
51,10397,11292,19977,5265,530,59489,1199,6306,5490,5907,1475727,6,634,1,"F"
52,10397,11292,20201,0,800,0,1199,178,168,0,21458,6,635,2,"P"
53,10397,11292,20304,382,0,0,1199,1229,1019,420,112440,6,631,1,"F"
54,10397,11292,20304,1645,0,0,1199,4532,3933,1748,349600,6,673,1,"F"
55,10397,11292,20436,4458,0,0,1199,6215,5120,4650,930000,6,698,1,"F"
56,10397,11292,20436,5027,0,0,1199,5792,4673,5220,1044000,6,694,1,"F"
57,10397,11292,20452,61,0,0,1199,182,159,76,21803,6,673,1,"F"
58,10397,11292,20452,398,0,0,1199,1112,981,420,114552,6,677,1,"F"
59,10397,11292,20500,1231,0,0,1199,4005,3292,1400,352200,6,631,1,"F"
60,10423,10325,21652,1,0,0,764,120,102,8,1600,5,515,1,"L"
61,10423,11292,19393,953,688,0,775,896,769,995,225400,6,619,1,"F"
62,10423,11292,19393,4367,5586,0,775,3451,2976,4550,1128400,6,614,1,"F"
63,10423,11292,19393,14803,17680,0,775,13633,11719,15587,3771400,6,612,1,"F"
64,10423,11292,19977,937,174,3035,775,747,618,1074,229852,6,634,1,"F"
65,10423,11292,19977,972,393,1614,775,999,854,1024,263688,6,698,1,"F"
66,10423,11292,19977,2599,1573,12928,775,2523,2145,3000,670867,6,694,1,"F"
67,10423,11292,19977,4160,915,359,775,3481,2933,4576,1020305,6,614,1,"F"
68,10423,11292,20304,419,0,0,775,927,779,490,131180,6,631,1,"F"
69,10423,11292,20304,1581,0,0,775,3308,2713,1672,334400,6,673,1,"F"
70,10423,11292,20436,6530,0,0,775,4162,3286,6900,1380000,6,699,1,"F"
71,10423,11292,20452,1627,0,0,775,3153,2621,1680,458208,6,677,1,"F"
72,10423,11292,20500,1961,0,0,775,4383,3619,2240,563520,6,631,1,"F"
73,10466,11109,20368,1299,0,0,543,918,702,1404,909000,6,698,1,"F"
74,10466,11292,21161,30,0,0,595,195,161,358,151660,6,617,1,"L"
75,10529,11292,19393,394,1352,0,1671,762,716,429,103800,6,612,1,"F"
76,10529,11292,19393,4554,12594,0,1671,6626,6136,4725,1171800,6,614,1,"F"
77,10529,11292,19977,151,0,1040,1671,240,218,166,41971,6,614,1,"F"
78,10529,11292,19977,1341,178,5254,1671,2439,2224,1500,364649,6,694,1,"F"
79,10529,11292,19977,2334,688,16317,1671,4774,4372,2432,629688,6,698,1,"F"
80,10529,11292,20402,0,0,0,1671,275,255,173,42500,6,614,1,"L"
81,10558,11292,19977,126,4,0,150,48,36,128,34279,6,698,1,"F"
82,10558,11292,20225,329,0,0,150,2622,1956,1320,334400,4,456,1,"F"
83,10558,11292,20237,49,0,0,150,55,29,50,11118,6,675,1,"F"
84,10558,11292,20354,20,0,0,150,60,45,50,10808,6,675,1,"F"
85,10561,11292,20304,448,0,0,845,1035,831,532,106400,6,673,1,"F"
86,10561,11292,20304,1877,0,0,845,7125,5865,2450,658000,6,629,1,"F"
87,10590,11292,20422,129,0,0,632,213,175,162,43116,6,614,1,"L"
88,10590,11719,20422,148,0,0,637,208,175,162,43116,6,614,1,"L"
89,10590,13502,20422,93,0,0,436,209,179,162,43411,6,614,1,"L"
90,10590,14288,20422,156,0,0,598,191,169,162,43411,6,614,1,"L"
91,10599,11292,20304,1767,0,0,1083,4913,4218,1960,524720,6,631,1,"F"
92,10599,11292,20452,144,0,0,1083,524,455,228,65409,6,673,1,"F"
93,10599,11292,20452,1757,0,0,1083,5151,4470,2030,553668,6,677,1,"F"
94,10620,11292,19917,0,567627,0,455,1556,1172,0,1846385,6,691,2,"G"
95,10620,11292,19977,843,123,0,455,564,427,1162,289418,6,614,1,"F"
96,10620,11292,19977,1486,405,0,455,1190,897,2100,503832,6,694,1,"F"
97,10620,11292,19977,5383,1582,0,455,5161,3867,7552,2073162,6,698,1,"F"
98,10620,11292,20237,126,0,0,455,256,204,150,33354,6,675,1,"F"
99,10620,11292,20304,163,0,0,455,486,335,250,64000,6,629,1,"F"
100,10620,11292,20304,1950,0,0,455,2886,2101,2356,471200,6,673,1,"F"
101,10627,11292,20237,2544,0,0,516,7135,5576,3600,800496,6,675,1,"F"
