"airport_id","airport_seq_id","airport_code","location_id"
11292,1129202,"DEN",1
12982,1298202,"LIH",12
14512,1451202,"RFD",2
14193,1419304,"PNS",4
10423,1042302,"AUS",5
12156,1215603,"HLN",6
13495,1349503,"MSY",7
11193,1119302,"CVG",8
14081,1408102,"PGA",10
12217,1221702,"HSV",11
11648,1164802,"FCA",13
10558,1055803,"BFF",16
14814,1481402,"SHV",17
11973,1197302,"GPT",18
10409,1040903,"ATY",19
12896,1289605,"LBB",20
13796,1379604,"OAK",21
13029,1302902,"LNK",23
11057,1105703,"CLT",25
11003,1100303,"CID",29
11376,1137601,"DPA",30
13930,1393004,"ORD",30
13232,1323202,"MDW",30
11066,1106603,"CMH",31
10257,1025702,"ALB",33
12278,1227803,"ICT",34
11433,1143302,"DTW",35
13931,1393102,"ORF",36
10590,1059004,"IFP",37
12003,1200302,"GTF",38
14262,1426204,"PSP",40
11267,1126702,"DAY",41
13891,1389101,"ONT",42
10279,1027903,"AMA",43
11097,1109702,"COD",44
11711,1171102,"FMN",45
13158,1315803,"MAF",46
14570,1457002,"RNO",47
14674,1467402,"SAF",48
12094,1209402,"HDN",50
12339,1233904,"IND",54
11042,1104203,"CLE",55
10925,1092502,"CDR",56
11697,1169704,"FLL",57
12389,1238902,"ISN",58
10397,1039705,"ATL",59
11503,1150303,"EGE",60
10643,1064301,"BKG",61
13264,1326403,"MFR",62
11278,1127803,"DCA",63
12264,1226402,"IAD",63
12280,1228002,"IDA",64
14730,1473003,"SDF",65
14771,1477102,"SFO",66
14534,1453402,"RIW",67
10529,1052904,"BDL",68
14679,1467903,"SAN",69
13830,1383002,"OGG",70
11618,1161802,"EWR",71
15016,1501603,"STL",72
13198,1319801,"MCI",73
13341,1334102,"MKC",73
14877,1487704,"SLN",74
10800,1080003,"BUR",75
13244,1324402,"MEM",76
13502,1350202,"MTJ",77
14524,1452401,"RIC",78
11540,1154003,"ELP",80
11638,1163805,"FAT",82
15376,1537602,"TUS",83
10272,1027203,"ALS",84
14689,1468902,"SBA",85
15304,1530402,"TPA",87
15412,1541203,"TYS",88
13964,1396403,"OTH",89
15919,1591902,"XNA",90
12758,1275803,"KOA",93
13851,1385103,"OKC",94
11563,1156303,"ENV",95
11447,1144703,"DVL",96
12478,1247803,"JFK",97
12953,1295302,"LGA",97
12191,1219102,"HOU",98
14893,1489302,"SMF",99
14783,1478302,"SGF",100
13486,1348602,"MSO",101
12012,1201203,"GUC",102
11986,1198603,"GRR",104
14122,1412202,"PIT",105
10559,1055902,"BFI",106
14747,1474703,"SEA",106
15041,1504102,"SUN",107
12451,1245102,"JAX",110
10821,1082104,"BWI",111
11884,1188402,"GEG",112
10627,1062702,"BIS",113
10792,1079204,"BUF",115
14543,1454302,"RKS",116
14492,1449202,"RDU",118
13485,1348502,"MSN",120
12889,1288903,"LAS",121
13871,1387102,"OMA",122
12255,1225502,"HYS",123
15370,1537002,"TUL",124
10599,1059904,"BHM",125
12448,1244805,"JAN",126
11259,1125903,"DAL",127
10849,1084903,"BZN",130
13433,1343302,"MOT",131
10194,1019403,"AFW",132
11298,1129804,"DFW",132
10221,1022103,"AIA",138
15177,1517702,"TEX",140
14120,1412002,"PIR",141
15582,1558202,"VEL",142
11921,1192102,"GJT",143
13200,1320002,"MCK",146
11109,1110902,"COS",147
14107,1410702,"PHX",148
10994,1099402,"CHS",149
12954,1295403,"LGB",151
14698,1469802,"SBP",156
12888,1288802,"LAR",157
10721,1072102,"BOS",158
12544,1254403,"USA",159
11637,1163703,"FAR",160
12992,1299204,"LIT",161
10713,1071302,"BOI",162
14252,1425202,"PSC",163
12173,1217302,"HNL",164
13367,1336703,"MLI",165
11865,1186502,"GCC",167
10140,1014003,"ABQ",168
11603,1160302,"EUG",169
12519,1251902,"JMS",170
11468,1146802,"EAR",172
12892,1289205,"LAX",173
11233,1123302,"CYS",174
10325,1032504,"APA",1
14683,1468303,"SAT",3
11481,1148102,"ECP",9
14831,1483104,"SJC",14
14275,1427502,"PTK",15
10693,1069302,"BNA",22
14576,1457604,"ROC",24
15570,1557001,"VCV",26
10747,1074702,"BRO",27
14457,1445702,"RAP",28
14100,1410002,"PHL",32
16091,1609103,"YIP",35
11283,1128302,"DDC",39
13204,1320402,"MCO",49
10950,1095002,"CEZ",51
13342,1334205,"MKE",52
11413,1141304,"DRO",53
10299,1029904,"ANC",79
14288,1428803,"PUB",81
12899,1289902,"LBF",86
14489,1448902,"RDM",91
11423,1142304,"DSM",92
12266,1226603,"IAH",98
13303,1330303,"MIA",103
12441,1244102,"JAC",108
10372,1037203,"ASE",109
11140,1114006,"CRP",114
10620,1062002,"BIL",117
14635,1463502,"RSW",119
14908,1490803,"SNA",128
11996,1199603,"GSP",129
13487,1348702,"MSP",133
14869,1486903,"SLC",134
11995,1199502,"GSO",135
14794,1479403,"SGU",136
11092,1109202,"CNY",137
11315,1131502,"DIK",139
11840,1184002,"GAD",144
14792,1479201,"SGR",145
10466,1046602,"AZA",148
14057,1405702,"PDX",150
11719,1171902,"FNL",152
11775,1177502,"FSD",153
12891,1289102,"LAW",154
10561,1056103,"BFL",155
11122,1112203,"CPR",166
12902,1290203,"LBL",171
