"path_data_id","airline_id","passengers","freight","mail","air_time","seats","payload","class","path_id","ramp_distance_id","aircraft_type_id","aircraft_config_id"
28,21652,0,0,0,132,8,1600,"L",96,150,515,1
29,21652,1,0,0,126,12,2400,"L",315,144,688,1
30,21352,3,0,0,113,8,2000,"L",207,122,684,1
31,20304,7698,0,0,5119,11970,3199580,"F",222,8963,631,1
32,20304,1193,0,0,2635,1890,501885,"F",166,3287,631,1
33,20304,1369,0,0,3211,1820,484760,"F",224,3759,631,1
34,20304,1761,0,0,6194,4121,1094295,"F",225,7735,631,1
35,20304,2245,0,0,6734,3570,949310,"F",155,8101,631,1
36,20304,696,0,0,2635,1540,409800,"F",67,3192,631,1
37,20304,893,0,0,1000,1380,354800,"F",240,1421,631,1
38,19790,160,0,0,152,199,49760,"F",372,169,622,1
39,19790,4272,3000,0,4547,4633,1127491,"F",372,5368,694,1
40,19393,412,119,0,502,429,96600,"F",455,597,619,1
41,19393,7356,22635,0,9041,7722,1868400,"F",455,10515,612,1
42,19393,14138,31675,0,13716,14875,3689000,"F",455,15822,614,1
43,19790,30,0,0,172,132,34446,"F",455,212,698,1
44,19790,150,14,39,156,192,50700,"F",455,174,699,1
45,19790,6261,14700,15768,5956,6660,1816330,"F",455,6940,888,1
46,19790,10174,18819,36350,9266,10598,2786560,"F",455,10956,622,1
47,19790,21790,18075,49923,22729,22448,5426740,"F",455,26305,656,1
48,19977,223,375,2511,310,300,72337,"F",455,416,694,1
49,19977,462,153,6943,648,512,142952,"F",455,724,698,1
50,19977,3030,348,37051,3266,3320,810902,"F",455,3778,614,1
51,19977,5265,530,59489,5490,5907,1475727,"F",455,6306,634,1
52,20201,0,800,0,168,0,21458,"P",455,178,635,2
53,20304,382,0,0,1019,420,112440,"F",455,1229,631,1
54,20304,1645,0,0,3933,1748,349600,"F",455,4532,673,1
55,20436,4458,0,0,5120,4650,930000,"F",455,6215,698,1
56,20436,5027,0,0,4673,5220,1044000,"F",455,5792,694,1
57,20452,61,0,0,159,76,21803,"F",455,182,673,1
58,20452,398,0,0,981,420,114552,"F",455,1112,677,1
59,20500,1231,0,0,3292,1400,352200,"F",455,4005,631,1
60,21652,1,0,0,102,8,1600,"L",429,120,515,1
61,19393,953,688,0,769,995,225400,"F",390,896,619,1
62,19393,4367,5586,0,2976,4550,1128400,"F",390,3451,614,1
63,19393,14803,17680,0,11719,15587,3771400,"F",390,13633,612,1
64,19977,937,174,3035,618,1074,229852,"F",390,747,634,1
65,19977,972,393,1614,854,1024,263688,"F",390,999,698,1
66,19977,2599,1573,12928,2145,3000,670867,"F",390,2523,694,1
67,19977,4160,915,359,2933,4576,1020305,"F",390,3481,614,1
68,20304,419,0,0,779,490,131180,"F",390,927,631,1
69,20304,1581,0,0,2713,1672,334400,"F",390,3308,673,1
70,20436,6530,0,0,3286,6900,1380000,"F",390,4162,699,1
71,20452,1627,0,0,2621,1680,458208,"F",390,3153,677,1
72,20500,1961,0,0,3619,2240,563520,"F",390,4383,631,1
73,20368,1299,0,0,702,1404,909000,"F",76,918,698,1
74,21161,30,0,0,161,358,151660,"L",173,195,617,1
75,19393,394,1352,0,716,429,103800,"F",318,762,612,1
76,19393,4554,12594,0,6136,4725,1171800,"F",318,6626,614,1
77,19977,151,0,1040,218,166,41971,"F",318,240,614,1
78,19977,1341,178,5254,2224,1500,364649,"F",318,2439,694,1
79,19977,2334,688,16317,4372,2432,629688,"F",318,4774,698,1
80,20402,0,0,0,255,173,42500,"L",318,275,614,1
81,19977,126,4,0,36,128,34279,"F",2,48,698,1
82,20225,329,0,0,1956,1320,334400,"F",2,2622,456,1
83,20237,49,0,0,29,50,11118,"F",2,55,675,1
84,20354,20,0,0,45,50,10808,"F",2,60,675,1
85,20304,448,0,0,831,532,106400,"F",391,1035,673,1
86,20304,1877,0,0,5865,2450,658000,"F",391,7125,629,1
87,20422,129,0,0,175,162,43116,"L",295,213,614,1
88,20422,148,0,0,175,162,43116,"L",202,208,614,1
89,20422,93,0,0,179,162,43411,"L",80,209,614,1
90,20422,156,0,0,169,162,43411,"L",66,191,614,1
91,20304,1767,0,0,4218,1960,524720,"F",319,4913,631,1
92,20452,144,0,0,455,228,65409,"F",319,524,673,1
93,20452,1757,0,0,4470,2030,553668,"F",319,5151,677,1
94,19917,0,567627,0,1172,0,1846385,"G",46,1556,691,2
95,19977,843,123,0,427,1162,289418,"F",46,564,614,1
96,19977,1486,405,0,897,2100,503832,"F",46,1190,694,1
97,19977,5383,1582,0,3867,7552,2073162,"F",46,5161,698,1
98,20237,126,0,0,204,150,33354,"F",46,256,675,1
99,20304,163,0,0,335,250,64000,"F",46,486,629,1
100,20304,1950,0,0,2101,2356,471200,"F",46,2886,673,1
101,20237,2544,0,0,5576,3600,800496,"F",117,7135,675,1
102,20304,1568,0,0,3004,1900,506000,"F",117,3862,629,1
103,20436,3289,0,0,1641,3960,798000,"F",117,2178,694,1
104,21477,308,0,0,942,450,67500,"F",286,1086,675,1
105,19393,619,1612,0,736,715,161000,"F",41,830,619,1
106,19393,8402,30930,0,7428,9100,2256800,"F",41,8380,614,1
107,19393,11708,48139,0,12221,12298,2975600,"F",41,13740,612,1
108,20304,1573,0,0,3998,1890,503500,"F",41,4640,631,1
109,20304,1878,0,0,3928,1976,395200,"F",41,4531,673,1
110,20436,2812,0,0,2322,2880,578400,"F",41,2693,694,1
111,20436,2967,0,0,1912,3220,644000,"F",41,2221,699,1
112,20452,525,0,0,1096,560,152736,"F",41,1361,677,1
113,19393,217,0,0,166,286,64400,"F",88,214,619,1
114,19393,3865,2184,0,2030,4200,1041600,"F",88,2416,614,1
115,19393,4737,917,0,3063,5291,1280200,"F",88,3676,612,1
116,19977,738,471,0,437,750,178092,"F",88,540,694,1
117,19977,877,0,0,646,896,235841,"F",88,783,698,1
118,19977,3522,201,0,1993,3972,971593,"F",88,2464,614,1
119,19977,3699,660,0,1927,4117,1053224,"F",88,2362,634,1
120,20304,852,0,0,1834,1050,283500,"F",88,2460,629,1
121,20304,2826,0,0,3576,3040,608000,"F",88,4704,673,1
122,19393,4330,22565,0,6622,4725,1171800,"F",374,7495,614,1
123,19393,8179,45759,0,14982,8866,2145200,"F",374,16688,612,1
124,19977,127,0,1858,235,128,31999,"F",374,258,698,1
125,19977,4020,2585,11777,6127,4138,1000021,"F",374,6766,614,1
126,19977,4612,2301,13670,7568,4800,1139462,"F",374,8321,694,1
127,19977,10011,4761,12668,13970,10561,2571316,"F",374,15537,634,1
128,20409,7738,0,0,13613,8550,2131800,"F",374,15159,694,1
129,21161,15,0,0,151,179,75830,"L",440,162,617,1
130,19393,10876,8337,0,8889,11726,2837200,"F",233,10553,612,1
131,19977,333,0,0,329,486,122849,"F",233,387,614,1
132,19977,630,94,0,776,896,211673,"F",233,915,698,1
133,20304,1059,0,0,2812,1200,324000,"F",233,3528,629,1
134,20304,1532,0,0,2614,1748,349600,"F",233,3294,673,1
135,21352,4,0,0,210,16,4000,"L",328,234,684,1
136,19393,4751,15999,0,8474,5863,1418600,"F",192,9261,612,1
137,19393,19734,43848,0,26297,22400,5555200,"F",192,28980,614,1
138,19977,368,133,0,635,384,107090,"F",192,680,698,1
139,19977,1215,38,3161,1909,1350,310348,"F",192,2143,694,1
140,19977,1750,78,3181,2261,1826,439369,"F",192,2505,614,1
141,19977,6129,963,43297,7529,6623,1647839,"F",192,8392,634,1
142,19977,84,0,0,67,150,36804,"F",324,107,694,1
143,19977,509,0,0,291,704,164811,"F",324,365,634,1
144,19977,1451,0,0,1335,2432,663289,"F",324,1884,698,1
145,19977,6757,66,0,3842,9284,2281158,"F",324,4969,614,1
146,20304,136,0,0,211,210,56220,"F",324,325,631,1
147,20304,1377,0,0,2238,1500,401500,"F",324,2938,629,1
148,20436,1648,0,0,902,1950,390000,"F",324,1276,698,1
149,20500,177,0,0,206,210,52830,"F",324,268,631,1
150,21599,321,0,0,3117,408,81600,"F",101,3581,479,1
151,21599,193,0,0,1772,208,41600,"F",86,2085,479,1
152,21599,385,0,0,3385,416,104000,"F",86,4148,458,1
153,21599,77,0,0,831,80,16000,"F",184,946,479,1
