"origin_city","origin_state","colorado_dest_city","airline","passengers"
"Phoenix","Arizona","Colorado Springs","Allegiant Air","1299"
"Albuquerque","New Mexico","Durango","Federal Express Corporation","0"
"Albuquerque","New Mexico","Denver","GoJet Airlines LLC d/b/a United Express","210"
"Atlanta","Georgia","Denver","Frontier Airlines Inc.","9485"
"Farmington","New Mexico","Durango","Empire Airlines Inc.","0"
"Great Falls","Montana","Denver","Trans States Airlines","707"
"Orlando","Florida","Denver","Frontier Airlines Inc.","13356"
"Charlotte","North Carolina","Denver","SkyWest Airlines Inc.","503"
"Fargo","North Dakota","Denver","SkyWest Airlines Inc.","2362"
"Kansas City","Missouri","Denver","Trans States Airlines","143"
"Oklahoma City","Oklahoma","Denver","SkyWest Airlines Inc.","3738"
"San Antonio","Texas","Denver","SkyWest Airlines Inc.","1329"
"Los Angeles","California","Denver","Spirit Air Lines","8833"
"Chicago","Illinois","Denver","Spirit Air Lines","9995"
"Dallas/Fort Worth","Texas","Montrose/Delta","Mesa Airlines Inc.","1885"
"Philadelphia","Pennsylvania","Denver","American Airlines Inc.","13806"
"Anchorage","Alaska","Denver","United Air Lines Inc.","5427"
"Charlotte","North Carolina","Denver","American Airlines Inc.","30654"
"Amarillo","Texas","Denver","Trans States Airlines","2218"
"Casper","Wyoming","Hayden","Federal Express Corporation","0"
"New Orleans","Louisiana","Denver","Frontier Airlines Inc.","5291"
"San Diego","California","Denver","Spirit Air Lines","4826"
"Detroit","Michigan","Denver","Delta Air Lines Inc.","17813"
"San Francisco","California","Aspen","SkyWest Airlines Inc.","1102"
"Sioux Falls","South Dakota","Denver","Frontier Airlines Inc.","3458"
"Milwaukee","Wisconsin","Denver","Southwest Airlines Co.","16294"
"Seattle","Washington","Colorado Springs","Horizon Air","1024"
"Seattle","Washington","Denver","Delta Air Lines Inc.","4378"
"Salt Lake City","Utah","Denver","United Parcel Service","0"
"Charleston","South Carolina","Denver","Southwest Airlines Co.","3366"
"Gillette","Wyoming","Denver","SkyWest Airlines Inc.","2138"
"Albuquerque","New Mexico","Denver","United Air Lines Inc.","5114"
"Phoenix","Arizona","Colorado Springs","Frontier Airlines Inc.","4175"
"Louisville","Kentucky","Denver","Republic Airlines","1614"
"Long Beach","California","Denver","Southwest Airlines Co.","1053"
"San Jose","California","Colorado Springs","Southwest Airlines Co.","140"
"Columbus","Ohio","Denver","United Air Lines Inc.","3049"
"Phoenix","Arizona","Denver","Swift Air, LLC","30"
"Wichita","Kansas","Denver","Republic Airlines","52"
"Indianapolis","Indiana","Denver","Southwest Airlines Co.","15712"
"Dallas/Fort Worth","Texas","Eagle","American Airlines Inc.","3286"
"Raleigh/Durham","North Carolina","Denver","American Airlines Inc.","142"
"Seattle","Washington","Denver","Alaska Airlines Inc.","25590"
"Houston","Texas","Denver","SkyWest Airlines Inc.","0"
"Tulsa","Oklahoma","Denver","Southwest Airlines Co.","7827"
"Atlanta","Georgia","Colorado Springs","Delta Air Lines Inc.","4432"
"Los Angeles","California","Grand Junction","SkyWest Airlines Inc.","89"
"Chicago","Illinois","Grand Junction","SkyWest Airlines Inc.","96"
"Kona","Hawaii","Denver","United Air Lines Inc.","3052"
"Las Vegas","Nevada","Denver","United Air Lines Inc.","19752"
"Great Falls","Montana","Denver","SkyWest Airlines Inc.","2458"
"Cleveland","Ohio","Denver","SkyWest Airlines Inc.","421"
"St. Louis","Missouri","Denver","Republic Airlines","331"
"Cheyenne","Wyoming","Denver","Great Lakes Airlines","14"
"Richmond","Virginia","Denver","United Air Lines Inc.","2799"
"Dallas/Fort Worth","Texas","Denver","Frontier Airlines Inc.","4219"
"Fargo","North Dakota","Denver","Trans States Airlines","1207"
"Kansas City","Missouri","Denver","SkyWest Airlines Inc.","2178"
"Los Angeles","California","Durango","SkyWest Airlines Inc.","160"
"Pasco/Kennewick/Richland","Washington","Grand Junction","SkyWest Airlines Inc.","41"
"Sugar Land","Texas","Aspen","Jet Aviation Flight Services, Inc.","6"
"Ontario","California","Denver","United Parcel Service","0"
"Austin","Texas","Denver","Southwest Airlines Co.","20123"
"Kalispell","Montana","Denver","United Air Lines Inc.","4448"
"Houston","Texas","Denver","ExpressJet Airlines Inc.","47"
"Amarillo","Texas","Denver","SkyWest Airlines Inc.","143"
"Austin","Texas","Denver","Republic Airlines","1627"
"Farmington","New Mexico","Durango","Federal Express Corporation","0"
"Houston","Texas","Aspen","SkyWest Airlines Inc.","1489"
"Fayetteville","Arkansas","Denver","Republic Airlines","130"
"Birmingham","Alabama","Denver","Republic Airlines","1901"
"Brownsville","Texas","Denver","Swift Air, LLC","15"
"Minneapolis","Minnesota","Denver","SkyWest Airlines Inc.","293"
"Albuquerque","New Mexico","Durango","Empire Airlines Inc.","0"
"Fort Lauderdale","Florida","Denver","United Air Lines Inc.","8090"
"Cody","Wyoming","Denver","Trans States Airlines","1104"
"Madison","Wisconsin","Denver","Frontier Airlines Inc.","2615"
"Omaha","Nebraska","Denver","GoJet Airlines LLC d/b/a United Express","1681"
"Des Moines","Iowa","Denver","Tradewind Aviation","2"
"New York","New York","Denver","United Air Lines Inc.","30072"
"St. Louis","Missouri","Denver","Southwest Airlines Co.","21095"
"Missoula","Montana","Denver","GoJet Airlines LLC d/b/a United Express","1643"
"Tulsa","Oklahoma","Denver","Republic Airlines","1417"
"Huntsville","Alabama","Denver","Trans States Airlines","1273"
"Orlando","Florida","Colorado Springs","Frontier Airlines Inc.","4243"
"Knoxville","Tennessee","Denver","GoJet Airlines LLC d/b/a United Express","450"
"Phoenix","Arizona","Denver","Frontier Airlines Inc.","8629"
"Miami","Florida","Denver","American Airlines Inc.","12301"
"Moab","Utah","Denver","Boutique Air","264"
"Honolulu","Hawaii","Denver","United Air Lines Inc.","10120"
"Indianapolis","Indiana","Denver","Republic Airlines","2209"
"Washington","Virginia","Colorado Springs","SkyWest Airlines Inc.","0"
"Chicago","Illinois","Montrose/Delta","Envoy Air","211"
"Portland","Oregon","Denver","Southwest Airlines Co.","16574"
