"origin_city","origin_state","airline_name"
"Atlanta","Georgia","Ameristar Air Cargo"
"Atlanta","Georgia","Delta Air Lines Inc."
"Atlanta","Georgia","Frontier Airlines Inc."
"Atlanta","Georgia","GoJet Airlines LLC d/b/a United Express"
"Atlanta","Georgia","Republic Airlines"
"Atlanta","Georgia","SkyWest Airlines Inc."
"Atlanta","Georgia","Southwest Airlines Co."
"Atlanta","Georgia","United Air Lines Inc."
"Austin","Texas","Frontier Airlines Inc."
"Austin","Texas","GoJet Airlines LLC d/b/a United Express"
"Austin","Texas","Jet Aviation Flight Services, Inc."
"Austin","Texas","Republic Airlines"
"Austin","Texas","SkyWest Airlines Inc."
"Austin","Texas","Southwest Airlines Co."
"Austin","Texas","United Air Lines Inc."
"Bakersfield","California","SkyWest Airlines Inc."
"Bend/Redmond","Oregon","SkyWest Airlines Inc."
"Birmingham","Alabama","Republic Airlines"
"Birmingham","Alabama","SkyWest Airlines Inc."
"Bismarck/Mandan","North Dakota","Frontier Airlines Inc."
"Bismarck/Mandan","North Dakota","SkyWest Airlines Inc."
"Bismarck/Mandan","North Dakota","Trans States Airlines"
"Boise","Idaho","SkyWest Airlines Inc."
"Boise","Idaho","Southwest Airlines Co."
"Boise","Idaho","United Air Lines Inc."
"Bozeman","Montana","Frontier Airlines Inc."
"Bozeman","Montana","GoJet Airlines LLC d/b/a United Express"
"Bozeman","Montana","SkyWest Airlines Inc."
"Bozeman","Montana","United Air Lines Inc."
"Branson","Missouri","Via Airlines d/b/a Charter Air Transport"
"Brownsville","Texas","Swift Air, LLC"
"Bullhead City","Arizona","Sun Country Airlines d/b/a MN Airlines"
"Burbank","California","SkyWest Airlines Inc."
"Burbank","California","Southwest Airlines Co."
"Burbank","California","United Air Lines Inc."
"Cedar Rapids/Iowa City","Iowa","Frontier Airlines Inc."
"Cedar Rapids/Iowa City","Iowa","SkyWest Airlines Inc."
"Cedar Rapids/Iowa City","Iowa","Trans States Airlines"
"Cedar Rapids/Iowa City","Iowa","United Air Lines Inc."
"Chicago","Illinois","American Airlines Inc."
"Chicago","Illinois","Frontier Airlines Inc."
