"airline","total_flights","average_distance","ratio_passengers_distance","ratio_freight_distance","corr_passengers_freight","corr_passengers_distance"
"Southern Air Inc.",44,1069,"0","495","",""
"Avjet Corporation",6,622,"0","0","","0.82"
"Frontier Airlines Inc.",4257,954,"4","0","","0.05"
"Empire Airlines Inc.",70,120,"0","273","",""
"CFM Inc d/b/a Contour Airlines",2,850,"0","0","","1"
"Via Airlines d/b/a Charter Air Transport",18,665,"0","0","",""
"Virgin America",170,967,"5","0","",""
"Allegiant Air",98,628,"1","0","","0.58"
"United Parcel Service",260,767,"0","865","",""
"USA Jet Airlines Inc.",2,1019,"0","0","",""
"Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Ai",114,615,"0","0","","-0.33"
"Compass Airlines",8,655,"0","0","",""
"Omni Air International LLC",1,628,"0","0","",""
"Miami Air International",3,1254,"0","0","","-0.7"
"Boutique Air",934,237,"1","0","","-0.05"
"Horizon Air",30,1068,"0","0","",""
"Ameristar Air Cargo",2,1239,"0","0","",""
"Southwest Airlines Co.",12017,982,"5","10","0.76","-0.1"
"Alaska Airlines Inc.",352,933,"5","7","0.61","0.39"
"Envoy Air",185,859,"2","0","0.99","-0.36"
"Republic Airlines",881,719,"1","0","","-0.05"
"Federal Express Corporation",540,696,"0","781","",""
"ExpressJet Airlines Inc.",154,789,"0","0","","0.28"
"Endeavor Air Inc.",4,1069,"0","0","",""
"Spirit Air Lines",701,918,"5","0","","-0.13"
"JetBlue Airways",205,1552,"2","0","","0.71"
"Jet Aviation Flight Services, Inc.",6,909,"0","0","","-0.12"
"American Airlines Inc.",2361,949,"6","1","0.78","0.01"
"Tradewind Aviation",1,604,"0","0","",""
"SkyWest Airlines Inc.",8744,666,"1","0","","-0.15"
"GoJet Airlines LLC d/b/a United Express",1652,665,"2","0","","-0.34"
"Mesa Airlines Inc.",285,603,"3","0","0.57","0.44"
"Trans States Airlines",2241,528,"2","0","","-0.09"
"Sun Country Airlines d/b/a MN Airlines",70,611,"1","0","0.78","0.46"
"Peninsula Airways Inc.",384,216,"1","0","","0.38"
"Swift Air, LLC",12,743,"0","0","","-0.77"
"Delta Air Lines Inc.",1808,954,"4","3","0.8","0.16"
"Kalitta Charters II",2,914,"0","9","",""
"Great Lakes Airlines",443,262,"0","0","","0.4"
"United Air Lines Inc.",11050,1012,"3","4","0.26","0.12"
